Campaign Member ID,Contact ID,Campaign Name,Last Touch Channel,Campaign Response Date,Interaction Status,Account Type,Account Tier,Region,Meeting Booked,Meeting Booked Date,Opportunity ID,Timestamp Date Qualified,Pipeline Revenue Share,Opportunity Stage,Closed Won CARR,AE Owner
CM-11822,CON-51822,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-11,Registered,Prospect,Tier 2,Northeast,No,,,,,,,David Kim
CM-11356,CON-51356,CY26 Q1 direct-mail-1many-oreos-6pack (2/20/2026),Direct Mail,2026-02-23,-,Prospect,Tier 1,Southwest,No,,,,,,,James O'Brien
CM-11241,CON-51241,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-23,Gift Delivered,Prospect,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-12326,CON-52326,[Paid Social],Paid Social,2026-01-24,-,Prospect,Tier 1,Southwest,No,,,,,,,Marcus Webb
CM-12361,CON-52361,[Organic Search],Organic Search,2026-03-13,-,Prospect,Tier 1,Midwest,No,,,,,,,Sarah Mitchell
CM-10619,CON-50619,CY26 Q1 direct-mail-1few-citrus-golf (1/22/26),Direct Mail,2026-01-27,Gift Delivered,Customer,Enterprise,Midwest,No,,,,,,,David Kim
CM-10144,CON-50144,CY26 Q1 - Hosted - Broncos Playoff Game - 2026-01-17,Hosted Events,2026-01-18,Attended,Customer,Tier 2,Southwest,No,,,,,,,Rachel Torres
CM-10951,CON-50951,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-19,Gift Delivered,Prospect,Enterprise,Midwest,No,,,,,,,Sarah Mitchell
CM-10964,CON-50964,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-21,Gift Delivered,Prospect,Tier 2,Midwest,No,,,,,,,James O'Brien
CM-10477,CON-50477,CY26 Q1 - Hosted - HMR After Dark Party - 2026-01-26,Hosted Events,2026-01-24,Registered,Customer,Tier 1,Southeast,No,,,,,,,Sarah Mitchell
CM-10521,CON-50521,CY26 Q1 - Hosted - Hurricanes vs Detroit Red Wings - 2026-02-28,Hosted Events,2026-03-05,Attended,Prospect,Enterprise,Southeast,Yes,2026-03-09,OPP-80112,2026-03-16,244100.0,Closed Lost,,James O'Brien
CM-11497,CON-51497,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-25,Visited Booth,Customer,Enterprise,Midwest,No,,,,,,,James O'Brien
CM-10460,CON-50460,CY26 Q1 - Hosted - Golden State Warriors vs Denver Nuggets - 2026-02-02,Hosted Events,2026-02-07,Attended,Customer,Enterprise,Southwest,No,,,,,,,Sarah Mitchell
CM-11407,CON-51407,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-01-30,Gift Delivered,Prospect,Enterprise,Southwest,No,,,,,,,Sarah Mitchell
CM-12412,CON-52412,[Organic Search],Organic Search,2026-02-11,-,Prospect,Enterprise,West,No,,,,,,,Rachel Torres
